Total Connected Clients, ATC, Pilots, Date, Time (UTC)
740, 109, 631, 2019-12-31, 00:01:48
710, 101, 609, 2019-12-31, 00:46:00
718, 99, 619, 2019-12-31, 00:56:11
723, 99, 624, 2019-12-31, 00:57:00
723, 99, 624, 2019-12-31, 00:58:01
715, 98, 617, 2019-12-31, 01:00:00
718, 98, 620, 2019-12-31, 01:00:30
715, 99, 616, 2019-12-31, 01:02:28
721, 99, 622, 2019-12-31, 01:03:16
722, 100, 622, 2019-12-31, 01:03:41
722, 100, 622, 2019-12-31, 01:04:00
716, 100, 616, 2019-12-31, 01:08:00
699, 93, 606, 2019-12-31, 01:12:00
696, 94, 602, 2019-12-31, 01:16:00
703, 95, 608, 2019-12-31, 01:22:18
693, 86, 607, 2019-12-31, 01:39:21
692, 92, 600, 2019-12-31, 01:49:52
